,tweet,existence,existence.confidence
270,mooney danger geoengin manipul planet combat climat chang,Yes,0.605
2168,round climat chang talk host summit mexico,Neutral,0.6996
3437,feder climat chang agenc form,Yes,0.6621
5439,climat chang polici updat april tinyurl,Neutral,0.6764
5367,climat scientist newspap poison global warm debat green cpfnbl,Yes,1.0
767,alexia park global warm heart earth thousand consciou action place,Neutral,0.5904
683,believ global warm intern conspiraci perpetr order condition,No,1.0
306,larri brilliant tedxvolcano climat chang exacerb crise climat scienc attack,Yes,0.8451
1753,pass legisl climat chang pibxo,Yes,0.6792
4572,smith warn climat chang argument undermin climateg smith finsburi chair,Yes,0.6599
1402,govern report global warm caus cancer mental ill cnsnew cdeyft,Yes,0.8373
5134,pachauri insist scienc behind global warm remain total valid delhi inter government oohja,Yes,1.0
4602,global warm still snow,No,0.6404
319,climat chang make season allergi wors record high spring,Yes,1.0
3077,india panel climat chang jairam ramesh hindustan time retwt,Neutral,0.6578
5979,time changin mckibben talk global warm sinc cujqk,Yes,1.0
5673,denni miller spencer author great global warm blunder,Neutral,0.5321
1839,geoengin chang climat convers,Neutral,0.6756
669,global warm baloney accord expert differ weather climat measur,No,0.7922
3290,earth look beyond climat chang oftentim earth larg unnot oohja xbdoo,Neutral,0.6505
4737,snowmageddon global warm occurr particularli strong storm oohja,No,0.6922
3350,blame snowpocalyps global warm,Yes,0.7033
1295,volcan cloud global warm trigger volcano climat chang could spark hazard oohja,Yes,1.0
2451,delici gabisa makanya cegah global warm adakorelasinyakok,Neutral,0.6434
4291,climat chang alter whale migrat,Yes,0.6316
2786,never stop funni senat global warm hear cancel,Neutral,0.6742
5831,politician pundit snow global warm cgocqu,Yes,0.6891
3023,bktjue virginia global warm toyota priu,No,0.6749
5996,nuclear power solut climat chang amwkr,Yes,0.6553
1390,protect wildlif habitat climat chang thepetitionsit takeact,Yes,1.0
4758,like climateg shocker thought climat chang hockey stick flaw hockey fgwfe,No,0.6894
3303,alreadi newsflash climat chang doubter trunc,Yes,0.6477
4984,review panel clear research climateg controversi climat chang research accus oohja xawmf,Neutral,0.7149
3810,hunker storm call histor global warm,No,0.7137
2646,senat prepar compromis climat chang reuter dipfag,Neutral,0.7037
573,global warm melt influenc magmat system reuter,Yes,0.8085
1642,global warm caus fungu fortun global warm,No,0.9605
3297,drudg acknowledg global warm game vancouv climat,Yes,0.7068
1494,exclus climat chang could rais allergi,Yes,1.0
5657,voic heard climat chang crkyfb,Yes,1.0
2642,excel articl time econom climat chang ration trade,Yes,0.6731
4638,go solv global warm dilemma think tree,No,0.6486
2867,environ offici defend conclus landmark climat chang report retwt,Neutral,0.6381
5721,glacier trigger tsunami caus wors global warm coast underwat england,Yes,0.6717
5,ocean salti show global warm intensifi water cycl,Yes,1.0
4319,surpris insur climat chang munichr allianz,Yes,0.7081
1966,global warm oxburgh inquiri offer refus oxburgh request chair btbuq,Neutral,0.5933
2663,senat prepar compromis climat chang washington reuter month introduc sweep ccsolj,Neutral,1.0
1762,survey find doesn about climat chang survey conduct find citi mhgzh,Neutral,0.6904
5405,chang climat chang regul caunvz,No,0.6558
2485,climateg faster faster domino akbyca global warm climat chang,No,0.6591
1506,could cleaner actual intensifi global warm staff world mark earth,Yes,0.716
5980,hominid adapt climat chang,Yes,1.0
3534,clarifi environmentalist climat chang denier wit argument,Yes,0.7436
3349,vancouv airlift olymp train global warm winter sport,Neutral,0.6424
5768,global warm crowd fear warm earth melt candi mountain rais glucos skeptic mountain sticki cyclic,Yes,0.3523
816,climat chang ident,Yes,0.8025
728,climat lindsay graham support climat chang legisl chang today lindsey graham,Neutral,1.0
3055,india panel climat chang jairam ramesh hindustan time retwt,Neutral,0.6927
4437,someon global warm,No,0.6357
5482,nuclear energi solut climat chang diesendorf retwt,Neutral,1.0
1804,go after health democrat still legisl reform climat chang immigr pwire,Neutral,0.6602
3918,msnbc report insist record global warm tinyurl yjzytto,Yes,0.6291
5065,norwegian nobel committe magazin problem truth global warm,Neutral,1.0
521,earth report climat chang endang health,Yes,1.0
4662,snowpocalyps tell about global warm,Yes,0.696
2924,climat chang pollut suspect rusti blackbird plummet number dalla morn,Yes,1.0
1223,carbon offset vatican forest fail reduc global warm,Neutral,0.687
3932,global warm brillianc keep get repeat though amus slightli ration,Neutral,0.3459
10,solv global warm thing,Yes,0.9073
2661,senat prepar compromis climat chang ahezjq,Neutral,0.6990000000000001
3858,american support strong climat energi polici today project climat chang relea,Neutral,0.5096
3889,caucu mine industri climat chang,Yes,0.6801
1271,season allergi get wors climat chang,Yes,1.0
1197,report allergi season wors climat chang,Yes,1.0
1756,sunday energi lawmak decid delay unveil bipartisan climat chang energi encpz,Neutral,0.6515
5176,scientificamerican articl green climat chang mitig support green,Yes,0.6721
3611,global warm light price,Yes,0.6912
790,earth polit final erupt,Neutral,0.7852
1272,believ global warm peep think believ instead,Yes,1.0
3755,cost head studi climat chang legisl bcwvk,Yes,0.6323
5876,warm global warm kiddo florida think newyork wait,Yes,0.6616
2265,offer seriou global warm skeptic downplay climateg bfkfn,Neutral,1.0
4842,solv global warm thing,Yes,1.0
3540,feder climat chang agenc announc,Yes,1.0
4864,commerc secretari announc plan creat offic inform busi local commun climat chang,Neutral,1.0
5596,count world peopl climat chang april watch oneclim bolivia wpccc,Yes,1.0
3018,climat chang hide declin mapl syrup natur retwt,Yes,0.6657
5680,peopl confer climat chang right mother earth open watch dsyzuv,Yes,0.6722
917,panel debat busi calif global warm diego panelist debat econom merit,Neutral,0.6703
1927,save hollywood ballot initi iceland volcano global warm snlwq,Yes,0.703
289,climat chang place befor disappear america photo,Yes,1.0
2892,climat chang reckless malcolm turnbul retwt,Neutral,1.0
749,parti differ climat chang realli instruct chines green,Neutral,0.8488
3328,question whether countri think risk geoeng outweigh global warm respond,Yes,0.6964
1441,tulip april chicago global warm,Yes,1.0
5945,global warm climat chang folk switch messag fight pollut bytsem,No,1.0
661,monster chiller horror global warm,Yes,0.5936
4367,happen global warm,Neutral,0.6383
4631,scienc journal call climat scienc reform steadi error report global warm oohja,No,0.6571
1656,anoth warmist rescu arctic global warm activist transport mghdk,No,1.0
2268,progress improv transpar environment protect climat chang energi,Yes,1.0
3724,stronger storm consist climat chang model,No,0.3483
2598,volcano climat chang global agricultur could benefit increas iceland volcan erupt,Yes,0.6736
5277,report climat chang indic unit state retwt,Neutral,0.6829
4028,econom social consequ global warm associ british insur,Yes,0.6807
1612,global warm unemploy choos disast jacob compani produc greenhous gase,Yes,1.0
3283,global warm make bizzard wors snowtori snowmageddon,Yes,0.6713
4144,disprov global warm,Yes,1.0
1949,brook shield upset report global warm doesn exist foxnew holli mckay subject global,Neutral,0.6918
328,coalit tire wait fight climat chang ground level,Yes,0.8205
827,start see temper report global warm start,Neutral,0.8103
1002,climat chang festiv demand earthday,Neutral,1.0
2980,indiavis consensu need climat chang accord mexico retwt,Neutral,0.6532
3849,climateg nowher global warm denier start glacierg truth there,No,0.5072
2300,warm global warm,Yes,0.6679999999999999
4663,teacher meant major scientist agre global warm,Yes,0.7190000000000001
2943,step global warm small,Yes,1.0
4054,economi climat chang olymp,Neutral,0.6906
2704,weather fuck screw global warm,No,1.0
2471,climat chang,Neutral,1.0
5101,import video watch lauri david green guid global warm globalwarn green climatechang,Yes,1.0
2274,webmemo climat chang unit nation first signific global warm meet sinc oohja,Yes,0.6208
5901,carbon neutral while promot climat chang dvvv,Yes,0.6786
5716,second panel find evid distort climat chang scientist,Neutral,0.6199
2820,climat chang adapt strategi retwt,Neutral,0.648
1712,white hous correspond dinner green report climat chang never,Yes,0.4735
1403,warn public compani advis investor risk climat chang,Yes,1.0
3877,pentagon liber hotb climat chang spark exacerb futur conflict,Neutral,1.0
285,kind idea fix global warm love environment class sigh,Yes,1.0
5094,princ charl climat chang global warm skeptic liar bhljeq,Yes,0.6025
5017,global warm ifglobalwarmingisrealthenwhyisitcold blogspot,No,1.0
5127,climat chang expert refut copenhagen myth defend copenhagen accord cjnce,Yes,0.6467
2629,planet earth bare notic effect anthropogen global warm climat chang bzekmq,No,0.6703
1668,global warm goldman exec,No,1.0
603,renew energi possibl solut global warm milton takei univers alumnu deal,Yes,1.0
4865,post temperatur alloc implic climat chang,Yes,1.0
4802,studi assess effect earlier spring reason global warm green,Yes,1.0
3217,snowpocalyps debunk global warm wrong global warm make blizzard wors,Yes,1.0
3847,anoth snowpocalyps thank climat chang kick bring,Yes,0.6611
3014,climat chang should focu homeland secur foundri conserv polici retwt,Neutral,0.6664
5936,recommend encyclopedia weather climat chang complet visual guid encyclopedia weather,Yes,0.6848
5720,accumul evid corrupt record global warm climat changehttp volcano,Yes,0.6163
1616,shift conscious busi creat climat chang action cadhur,Yes,0.7377
4562,global warm global warm,Neutral,0.6915
225,import event struggl against climat chang nigerian environmentalist nnimmo bassey,Yes,1.0
1377,capit climat chang climat chang capit degrowth afdsti,Yes,1.0
3332,brilliant vagina monologu creator tell palin earthquak tsunami global warm proof,Yes,0.6922
1147,busi creat climat chang action,Yes,0.6278
3957,climat chang portal could birth entir industri fastcompani,Yes,0.7038
4694,radio talk global warm snowdrift listen joeradio,Yes,0.4738
4029,global warm global warm,Yes,0.6648
2114,climat offer use realism climat chang head chang head,No,1.0
4749,overreact incomprehens global warm joke,No,0.7021
2536,global warm pleas kayak neraka bocor,Yes,1.0
3603,confer indigen approach environ climat chang,Neutral,0.6555
1847,scream climat chang clinic trial collagen cliniqu cloth deocm,Neutral,1.0
3269,accord msnbc global warm caus blizzard,Yes,0.7084
1706,discuss indigen women climat chang,Neutral,1.0
3028,global warm solut global warn bmkeuv,Yes,0.6727
4895,green peopl world climat chang earth right southam respons copenhagen america brooklyn,Yes,0.7224
1160,global warm threat blair round latest frontier global oohja,Yes,1.0
3632,seattl take industri come curb climat chang thing butsnb,Yes,1.0
5032,paper great global warm collaps break,No,1.0
1177,global warm kill forest colorado coowit,Yes,1.0
4120,realiti check british inquiri find distort climat chang crsqyj scienc,Yes,0.654
5728,rupert murdoch fact straight climat chang biuhb foxnew globalwarm saveterra,Yes,0.6446
1254,global warm evid around messag global warm denier doubter around oohja xbhvz,Yes,1.0
1946,give immigr come climat chang regardless order childrenactbett,Yes,0.6275
2898,climat chang stimulu clunker prosecut terrorist,Neutral,0.6602
3432,commun climat chang sheppard polit drvgoh,Yes,0.7237
114,climat chang melt glacier bill glacier nation namesak,Yes,1.0
2945,censor cochabama peopl world confer climat chang mother earth right retwt,Yes,0.6499
3521,there argument peopl believ climat chang realiti,Yes,0.7273
4476,global warm die horribl death obama,No,1.0
2622,climat chang realis problem wind corner,Yes,1.0
446,document call global regim tackl climat chang,Yes,0.603
2715,nearli degre global warm sweat,No,0.7244
5344,south africa host talk climat chang aggreg newzfor retwt,Yes,0.6774
2073,senat prepar compromis climat chang,Neutral,0.6479
2070,christi cut million global warm prevent hester chri christi take,Neutral,0.6509999999999999
5859,climat convers group great global warm blunder believ potenti natur explanati,No,1.0
5474,video common distort climat chang denier expos frogblog retwt,Yes,1.0
3295,patent haarp global warm conspiraci start talk paper,No,0.7089
4157,coast probabl wonder happen global warm blizzard answer climat snowmageddon,Yes,0.384
3649,histor storm washington third explain snow heavili global warm immin,No,0.7132
496,research track climat chang,Yes,0.6214
2309,gordon brown clegg american climat chang leadersdeb,Yes,0.6843
3735,virginia releas inan video contend singl snowstorm global warm farc,No,0.4911
4045,despit sceptic climat chang remain prioriti ipuia,Yes,1.0
3083,actress orianka kilcher climat chang activ public figur celebr respons,Yes,1.0
5023,someon global warm,No,1.0
3242,final rebutt mean global warm nonsens air mainstream media video lykdh,Yes,1.0
2760,snowstorm disprov climat chang media matter action network retwt,Yes,0.6498
5107,gridlock fact brush global warm fanat,No,0.5288
1806,superb valentin gift kitchen scream climat chang clinic trial collagen cqbupl,Neutral,1.0
1430,anoth global warm increas allergi attack,Yes,1.0
2388,climat bibl report global warm climat chang ecohttp drieml,Neutral,0.361
370,climat chang endang place newsweek,Yes,0.8106
136,arctic beauti black white alaska befor effect global warm slide toward,Yes,1.0
2252,mayb instead global warm worri global shake everyon march jumprop either,Neutral,0.7532
2733,call need global warm pleas respond,No,1.0
5900,carbon neutral claim climat chang,Neutral,1.0
2162,brook shield upset global warm exist brook shield upset report global warm,Neutral,0.6887
3762,diplomaci clinton admit fund climat chang addit,Neutral,0.7137
